"title, last_name","first_name","file_path"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_391907\Cheng_uchicago_0330D_13135_DATA.xml","Search for Dark Matter Produced in Association with a Higgs Boson Decaying to Two Bottom Quarks at ATLAS","Yangyang","Cheng"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_391955\MartinezMartin_uchicago_0330D_13136_DATA.xml","Bad to the Brain: Neuroscience, Criminal Law and Responsibility","Nicole","Martinez-Martin"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_391957\Zhou_uchicago_0330D_13138_DATA.xml","Direct Dark Matter Detection with the DAMIC Experiment at SNOLAB","Jing","Zhou"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_391975\Weiss_uchicago_0330D_13139_DATA.xml","UNSETTLING FUTURES: HAIDA FUTURE-MAKING, POLITICS AND MOBILITY IN THE SETTLER COLONIAL PRESENT","Joseph","Weiss"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_391988\Li_uchicago_0330D_13140_DATA.xml","INTERACTIONS OF ATOMIC AND MOLECULAR SPECIES WITH ICE AND SELF-ASSEMBLED MONOLAYERS","Wenxin","Li"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392010\Seidel_uchicago_0330D_13141_DATA.xml","The Impact of Substrate Interaction in Directed Self-Assembly of Symmetric Diblock Copolymer Thin Films","Robert","Seidel"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392018\Gao_uchicago_0330D_13142_DATA.xml","Re-engineering a Transmembrane Protein to Treat Muscular Dystrophy Using Exon Skipping","Quan","Gao"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392028\Anagnost_uchicago_0330D_13143_DATA.xml","Contested Spaces: Art and Urbanism in Brazil, 1928-1969","Adrian","Anagnost"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392031\Morton_uchicago_0330D_13144_DATA.xml","Leaving Labor: Reverse Migration, Welfare Cash, and the Specter of the Commodity in Northeastern Brazil","Gregory","Morton"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392058\Crooks_uchicago_0330D_13145_DATA.xml","Statistical Learning Models of T Cell Receptor Dynamics","James","Crooks"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392116\Akchurin_uchicago_0330D_13146_DATA.xml","The Politics of Water: Privatizing Water and Sanitation Utilities in Argentina and Chile","Maria","Akchurin"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392531\Rosenberg_uchicago_0330D_13148_DATA.xml","Buying Time: A Theory of Mass Consumption as Wage Labor Commensuration","Stephen","Rosenberg"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392551\Andruss_uchicago_0330D_13149_DATA.xml","Exegesis, Homily, and Historical Reflection in the Arabic Commentary on Lamentations by Salmon ben Yerūḥīm, Tenth-Century Karaite of Jerusalem","Jessica","Andruss"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392775\Mine_uchicago_0330D_13150_DATA.xml","Phosphorus biogeochemistry in microbial aquatic ecosystems: insights into P remineralization","Aric","Mine"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_392932\Zheng_uchicago_0330D_13151_DATA.xml","Investigation on the Structure-Property Relationship of Organic Photovoltaics and Side Reactions of Stille Polycondensation","Tianyue","Zheng"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_393710\McBride_uchicago_0330D_13152_DATA.xml","City With Lifted Head Singing: The Practice and Politics of Music Education in Chicago","Meredith","McBride"
"Z:\Dissertation_Offices\Data From ProQuest\2015\December\etdadmin_upload_393990\Smucker_uchicago_0330D_13153_DATA.xml","A Listener-Sensitive Analytic Approach to Elliott Carter's Late Chamber Music, 1990–2012","Peter","Smucker"
