filename,volume #,,first page,last page,page range,creator,title,rights,webstatement,subject,keywords,createdate,publisher,date.copyright,identifier.issn,identifier.uri,identifier,relation.isFormatOf,relation.isPartOf,source,description
MSR_II_1998-Petry.pdf,2,,51,60,51-60,Carl F. Petry,"A Geniza for Mamluk Studies? Charitable Trust (Waqf) Documents as a Source (MSR II, 1998)",©1998 by Carl F. Petry. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, waqf","mamluk, Egypt, Syria, Middle, East, history, waqf",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 51-60) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-Tsugitaka.pdf,2,,73,92,73-92,Sato Tsugitaka,"The Proposers and Supervisors of al-Rawk al-Nasiri in Mamluk Egypt (MSR II, 1998)",©1998 by Sato Tsugitaka. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 73-92) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-Little.pdf,2,,93,193,93-193,Donald P. Little,"Documents Related to the Estates of a Merchant and His Wife in Late 14th Century Jerusalem (MSR II, 1998)",©1998 by Donald P. Little. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Jerusalem","mamluk, Egypt, Syria, Middle, East, history, Jerusalem",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 93-193) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-BookReviews.pdf,2,,195,250,195-250,"Paul M. Cobb, Warren C. Schultz, Anne F. Broadbridge, Franz Rosenthal, Michael Winter, Leonor Fernandes, Doris Behrens-Abouseif, Li Guo, Jonathan P. Berkey, Paul E. Walker, Stephan Conermann, Michael Chamberlain, R. Sthephen Humphreys","Book Reviews (MSR II, 1998)",©1998 by review authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 195-250) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MamlukStudiesReview_III_1999.pdf,3,,0,0,0,The Middle East Documentation Center (MEDOC) at The University of Chicago,Mamlūk Studies Review Vol. III (1999),©1999 by individual authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,"
http://hdl.handle.net/11417/448",doi:10.6082/M1765CFB,"Digital version of Mamlūk Studies Review, Vol. III, published in 1999. ISSN for print volumes: 1086-170X.",,,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Amitai.pdf,3,,1,12,1-12,Reuven Amitai,"David Ayalon, 1914-1998 (MSR III, 1999)",©1999 by Reuven Amitai. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 1-12) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Petry.pdf,3,,13,30,13-30,Carl F. Petry,"""Quis Custodiet Custodes?"" Revisited: The Prosecution of Crime in the Late Mamluk Sultanate (MSR III, 1999)",©1999 by Carl F. Petry. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, crime, law, corruption","mamluk, Egypt, Syria, Middle, East, history, crime, law, corruption",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 13-30) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Bloom.pdf,3,,31,58,31-58,Jonathan M. Bloom,"Mamluk Art and Architectural History: A Review Article (MSR III, 1999)",©1999 by Jonathan M. Bloom. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, art, architecture","mamluk, Egypt, Syria, Middle, East, history, art, architecture",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 31-58) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Homerin.pdf,3,,59,83,59-83,Th. Emil Homerin,"Saving Muslim Souls: The Khānqāh and the Sufi Duty in Mamluk Lands (MSR III, 1999)",©1999 by Th. Emil Homerin. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Sufism, Islam","mamluk, Egypt, Syria, Middle, East, history, Sufism, Islam",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 59-83) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Broadbridge.pdf,3,,85,107,85-107,Anne F. Broadbridge,"Academic Rivalry and the Patronage System in Fifteenth-Century Egypt: al-'Ayni, al-Maqrizi, and Ibn Hajar al-'Asqalani (MSR III, 1999)",©1999 by Anne F. Broadbridge. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, patronage","mamluk, Egypt, Syria, Middle, East, history, patronage",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 85-107) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Tucker.pdf,3,,109,128,109-128,William Tucker,"Environmental Hazards, Natural Disasters, Economic Loss, and Mortality in Mamluk Syria (MSR III, 1999)",©1999 by William Tucker. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, economics","mamluk, Egypt, Syria, Middle, East, history, economics",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 109-128) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Behrens-Abouseif.pdf,3,,129,147,129-147,Doris Behrens-Abouseif,"Qaytbay's Madrasahs in the Holy Cities and the Evolution of Haram Architecture (MSR III, 1999)",©1999 by Doris Behrens-Abouseif. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Qaytbay, patronage, Mecca, Medina","mamluk, Egypt, Syria, Middle, East, history, Qaytbay, patronage, Mecca, Medina",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 129-147) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Winter.pdf,3,,149,182,149-182,Stefan H. Winter,"Shams al-Din Muhammad ibn Makki ""al-Shahid al-Awwal"" and the Shi'ah of Syria (MSR III, 1999)",©1999 by Stefan H. Winter. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Islam","mamluk, Egypt, Syria, Middle, East, history, Islam",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 149-182) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-Schultz.pdf,3,,183,205,183-205,Warren C. Schultz,"Mamluk Monetary History: A Review Essay (MSR III, 1999)",©1999 by Warren C. Schultz. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, economics, numismatics","mamluk, Egypt, Syria, Middle, East, history, economics, numismatics",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 183-205) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_III_1999-BookReviews.pdf,3,,207,246,207-246,"Amalia Levanoni, David C. Reisman, Michael Chamberlain, Thomas Bauer, Reuven Amitai, Frédéric Bauden, Donald P. Little, Nuha N. N. Khoury, Th. Emil Homerin, Stefan H. Winter, Marlis Saleh","Book Reviews (MSR III, 1999)",©1999 by review authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:43:16Z,The Middle East Documentation Center (MEDOC),1999,1947-2404,,,"Digital version of an article published (pp. 207-246) in Mamlūk Studies Review, Vol. III, 1999. ISSN for print volumes: 1086-170X.",doi:10.6082/M1765CFB,doi:10.6082/M1765CFB,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
